Date,Open,High,Low,Close,Adj Close,Volume
1983-01-03,8.906250,9.062500,8.750000,8.781250,0.430806,363600
1983-01-04,9.093750,9.375000,8.812500,9.375000,0.459935,1871200
1983-01-05,9.687500,9.781250,9.562500,9.656250,0.473733,1735200
1983-01-06,9.937500,10.093750,9.750000,9.968750,0.489064,2276800
1983-01-07,10.156250,10.312500,9.968750,10.031250,0.492131,2922400
1983-01-10,10.187500,10.343750,10.000000,10.250000,0.502862,1238000
1983-01-11,10.062500,10.218750,9.906250,9.968750,0.489064,1077600
1983-01-12,10.031250,10.187500,9.875000,9.968750,0.489064,1200800
1983-01-13,9.656250,9.875000,9.437500,9.437500,0.463001,740800
1983-01-14,9.625000,9.718750,9.500000,9.687500,0.475266,444800
1983-01-17,9.468750,9.687500,9.250000,9.250000,0.453803,719600
1983-01-18,9.375000,9.593750,9.125000,9.500000,0.466068,1514800
1983-01-19,9.781250,10.000000,9.562500,10.000000,0.490598,1268000
1983-01-20,10.281250,10.468750,10.062500,10.250000,0.502862,2389600
1983-01-21,9.968750,10.062500,9.875000,9.906250,0.485998,1870800
1983-01-24,9.343750,9.437500,9.250000,9.250000,0.453803,1262000
1983-01-25,9.062500,9.343750,8.750000,9.343750,0.458402,1510000
1983-01-26,9.406250,9.562500,9.250000,9.437500,0.463001,898000
1983-01-27,9.593750,9.750000,9.437500,9.750000,0.478333,1067200
1983-01-28,9.781250,9.843750,9.687500,9.812500,0.481399,889600
1983-01-31,9.562500,9.687500,9.406250,9.437500,0.463001,1351200
1983-02-01,9.187500,9.531250,8.812500,9.250000,0.453803,772800
1983-02-02,9.187500,9.312500,9.031250,9.312500,0.456869,524400
1983-02-03,9.500000,9.718750,9.281250,9.718750,0.476799,796800
1983-02-04,10.000000,10.250000,9.750000,10.156250,0.498263,2518800
1983-02-07,9.906250,10.000000,9.812500,9.937500,0.487531,846400
1983-02-08,9.937500,10.031250,9.843750,9.875000,0.484465,440000
1983-02-09,9.906250,10.000000,9.812500,10.000000,0.490598,414800
1983-02-10,10.187500,10.437500,9.937500,10.187500,0.499796,2847600
1983-02-11,10.343750,10.406250,10.281250,10.375000,0.508995,2256400
1983-02-14,10.531250,10.593750,10.437500,10.500000,0.515127,1353600
1983-02-15,10.531250,10.593750,10.437500,10.468750,0.513594,887200
1983-02-16,10.406250,10.500000,10.312500,10.468750,0.513594,918000
1983-02-17,10.437500,10.500000,10.343750,10.468750,0.513594,670000
1983-02-18,10.312500,10.406250,10.187500,10.343750,0.507462,679200
1983-02-22,9.718750,9.906250,9.500000,9.500000,0.466068,1338400
1983-02-23,9.437500,9.500000,9.375000,9.500000,0.466068,1405200
1983-02-24,9.875000,10.093750,9.625000,10.062500,0.493664,1925200
1983-02-25,10.281250,10.343750,10.187500,10.218750,0.501329,1948800
1983-02-28,9.906250,10.062500,9.750000,9.875000,0.484465,890000
1983-03-01,9.937500,10.031250,9.843750,9.968750,0.489064,964800
1983-03-02,10.250000,10.281250,10.187500,10.250000,0.502862,1018400
1983-03-03,10.375000,10.500000,10.250000,10.375000,0.508995,2030400
1983-03-04,10.312500,10.437500,10.156250,10.375000,0.508995,1240800
1983-03-07,10.312500,10.375000,10.250000,10.375000,0.508995,828400
1983-03-08,10.187500,10.375000,10.000000,10.000000,0.490598,1190000
1983-03-09,10.187500,10.406250,9.968750,10.375000,0.508995,887600
1983-03-10,10.500000,10.625000,10.375000,10.406250,0.510528,3490000
1983-03-11,10.312500,10.375000,10.250000,10.281250,0.504396,1452000
1983-03-14,10.375000,10.531250,10.187500,10.468750,0.513594,861200
